id,word,ipa,ending_sound
111,zoo,/zuː/,/z/
112,sue,/suː/,/uː/
113,buzz,/bʌz/,/z/
114,bus,/bʌs/,/s/
115,nose,/noʊz/,/z/
116,noose,/nuːs/,/s/
117,rose,/roʊz/,/z/
118,rows,/roʊz/,/z/
119,jazz,/dʒæz/,/z/
120,jar,/dʒɑːr/,/r/
121,fish,/fɪʃ/,/ʃ/
122,fit,/fɪt/,/t/
123,wish,/wɪʃ/,/ʃ/
124,wit,/wɪt/,/t/
125,dish,/dɪʃ/,/ʃ/
126,dip,/dɪp/,/p/
127,rush,/rʌʃ/,/ʃ/
128,rut,/rʌt/,/t/
129,brush,/brʌʃ/,/ʃ/
130,brut,/bruːt/,/t/
131,beige,/beɪʒ/,/ʒ/
132,badge,/bædʒ/,/dʒ/
133,garage,/ɡəˈrɑːʒ/,/ʒ/
134,garbage,/ˈɡɑːrbɪdʒ/,/dʒ/
135,measure,/ˈmɛʒər/,/ʒ/
136,mature,/məˈtʃʊr/,/r/
137,pleasure,/ˈplɛʒər/,/ʒ/
138,pressure,/ˈprɛʃər/,/r/
139,treasure,/ˈtrɛʒər/,/ʒ/
140,tressure,/ˈtrɛsər/,/r/
141,hat,/hæt/,/h/
142,hot,/hɒt/,/t/
143,hit,/hɪt/,/h/
144,hot,/hɒt/,/t/
145,hot,/hɒt/,/t/
146,hat,/hæt/,/h/
147,hope,/hoʊp/,/h/
148,hop,/hɒp/,/p/
149,house,/haʊs/,/h/
150,hose,/hoʊz/,/z/
151,church,/tʃɜːrtʃ/,/tʃ/
152,search,/sɜːrtʃ/,/tʃ/
153,watch,/wɒtʃ/,/tʃ/
154,wash,/wɒʃ/,/ʃ/
155,catch,/kætʃ/,/tʃ/
156,cash,/kæʃ/,/ʃ/
157,match,/mætʃ/,/tʃ/
158,mash,/mæʃ/,/ʃ/
159,teach,/tiːtʃ/,/tʃ/
160,teak,/tiːk/,/k/
161,judge,/dʒʌdʒ/,/dʒ/
162,jut,/dʒʌt/,/t/
163,age,/eɪdʒ/,/dʒ/
164,ache,/eɪk/,/k/
165,page,/peɪdʒ/,/dʒ/
166,pace,/peɪs/,/s/
167,cage,/keɪdʒ/,/dʒ/
168,cake,/keɪk/,/k/
169,edge,/ɛdʒ/,/dʒ/
170,etch,/ɛtʃ/,/tʃ/
171,room,/ruːm/,/m/
172,root,/ruːt/,/t/
173,team,/tiːm/,/m/
174,teat,/tiːt/,/t/
175,dream,/driːm/,/m/
176,dread,/drɛd/,/d/
177,arm,/ɑːrm/,/m/
178,art,/ɑːrt/,/t/
179,him,/hɪm/,/m/
180,hit,/hɪt/,/t/
181,sun,/sʌn/,/n/
182,sum,/sʌm/,/m/
183,run,/rʌn/,/n/
184,rum,/rʌm/,/m/
185,fun,/fʌn/,/n/
186,funny,/ˈfʌni/,/i/
187,man,/mæn/,/n/
188,mat,/mæt/,/t/
189,pin,/pɪn/,/n/
190,pit,/pɪt/,/t/
191,sing,/sɪŋ/,/ŋ/
192,sin,/sɪn/,/n/
193,ring,/rɪŋ/,/ŋ/
194,rang,/ræŋ/,/ŋ/
195,song,/sɒŋ/,/ŋ/
196,son,/sʌn/,/n/
197,king,/kɪŋ/,/ŋ/
198,kin,/kɪn/,/n/
199,wing,/wɪŋ/,/ŋ/
200,win,/wɪn/,/n/
